id;age;gender;marital_status;region;education;occupation;account;subscription_period;weekly_usage_time;subscription_type;watch_with;major_platform;other_major_platform;platforms;user_friendliness;satisfaction;price_quality;future_user;preference;genre_1;genre_2;genre_3;n_episodes;additional_accounts;time_preference;suggestion;reason_no_netflix;other_platform
1;21;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;3;standard;family;si;;netflix;very;very;enough;;tv series;thriller;comedy;romantic;3-4 episodes;yes;late evening;contents;;
2;62;male;married;Campania;upper secondary school diploma;unemployed;no;;;;;;;;;;;no;documentaries;action;comedy;fantasy;one-2 episodes;no;;;lack of interest;
3;55;male;cohabiting;Campania;master's degree;employed;si;over 24 months ;3;standard;;si;;netflix;very;very;very;;tv series;thriller;action;comedy;one-2 episodes;yes;late afternoon;contents;;prime video
4;42;male;married;Campania;master's degree;employed;si;over 24 months ;3;premium;partner;si;;netflix;very much;very;very;;tv series;action;comedy;fantasy;3-4 episodes;yes;late evening;nothing;;
5;59;male;married;Campania;upper secondary school diploma;employed;si;13 to 24 months;3;standard;family;no;dazn;dazn;very;very;enough;;movies;action;comedy;drama;one-2 episodes;yes;early evening;nothing;;
6;59;male;married;Campania;upper secondary school diploma;employed;si;over 24 months ;3;basic;;si;;netflix;very;very much;very;;movies;drama;comedy;action;3-4 episodes;yes;late evening;contents;;
7;44;male;married;Campania;master's degree;employed;no;;;;;;;;;;;don't know;sport;action;comedy;romantic;single episode;no;;;no need;
8;65;male;married;Puglia;upper secondary school diploma;retired;no;;;;;;;;;;;don't know;movies;thriller;other;action;3-4 episodes;yes;;;no need;apple tv
9;48;male;separated;Campania;master's degree;employed;si;over 24 months ;1;standard;partner;no;dazn;dazn;very much;enough;very;;movies;action;comedy;drama;3-4 episodes;no;late evening;more contents;;
10;58;male;married;Campania;upper secondary school diploma;employed;si;13 to 24 months;3;basic;family;no;dazn;dazn;very much;very much;very;;movies;comedy;action;drama;one-2 episodes;yes;late evening;nothing;;
